root@comp3134:~# tcpdump -i enp1s0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:44.325429 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9248:9476, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325481 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9512:9740, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325534 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9776:10004, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.325585 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10040:10268, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.325632 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10304:10532, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.325684 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10568:10796, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.325735 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10832:11060, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.325784 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11096:11324, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.325840 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11360:11588, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.325896 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11624:11852, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
