root@comp3134:~# tcpdump -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:25:38.761491 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15056:15284, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761539 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15320:15548, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761591 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15584:15812, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761643 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15848:16076, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761691 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16112:16340, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761757 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16376:16604, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761810 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16640:16868, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761858 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16904:17132, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761910 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17168:17396, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.761956 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17432:17660, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762003 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17696:17924, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762058 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17960:18188, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762107 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18224:18452, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762157 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18488:18716, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762210 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18752:18980, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762261 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19016:19244, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762317 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19280:19508, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762383 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19544:19772, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762441 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19808:20036, ack 1, win 501, options [nop,nop,TS val 1835574707 ecr 487754294], length 228
20:25:38.762513 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20072:20300, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762569 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20336:20564, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762623 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20600:20828, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762670 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20864:21092, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762725 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21128:21356, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762775 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21392:21620, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762822 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21656:21884, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762867 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21920:22148, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762918 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22184:22412, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.762966 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22448:22676, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763019 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22712:22940, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763071 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22976:23204, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763119 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23240:23468, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763171 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23504:23732, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763224 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23768:23996, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763269 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24032:24260, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763322 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24296:24524, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763372 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24560:24788, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763434 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24824:25052, ack 1, win 501, options [nop,nop,TS val 1835574708 ecr 487754294], length 228
20:25:38.763488 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25088:25316, ack 1, win 501, options [nop,nop,TS val 1835574709 ecr 487754294], length 228
20:25:38.763541 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25352:25580, ack 1, win 501, options [nop,nop,TS val 1835574709 ecr 487754294], length 228
20:25:38.763589 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25616:25844, ack 1, win 501, options [nop,nop,TS val 1835574709 ecr 487754294], length 228
20:25:38.763642 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25880:26108, ack 1, win 501, options [nop,nop,TS val 1835574709 ecr 487754294], length 228
20:25:38.763693 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 26144:26372, ack 1, win 501, options [nop,nop,TS val 1835574709 ecr 487754294], length 228
