root@comp3134:~# tcpdump -i enp1s0 src 155.138.140.26
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:34:28.841458 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15576:15804, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.841505 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15840:16068, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841569 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16104:16332, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841624 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16368:16596, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841671 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16632:16860, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841724 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16896:17124, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841777 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17160:17388, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841833 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17424:17652, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841887 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17688:17916, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841938 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17952:18180, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.841991 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18216:18444, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842041 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18480:18708, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842089 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18744:18972, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842138 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19008:19236, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842186 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19272:19500, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842230 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19536:19764, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842281 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19800:20028, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842345 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20064:20292, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842402 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20328:20556, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842455 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20592:20820, ack 1, win 501, options [nop,nop,TS val 1836104787 ecr 488284367], length 228
20:34:28.842491 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20820:21240, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 420
20:34:28.842537 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21240:21852, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 612
20:34:28.842589 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21852:22848, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 996
20:34:28.842633 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22848:23652, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 804
20:34:28.842684 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23652:24456, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 804
20:34:28.842735 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24456:25452, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 996
20:34:28.842775 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25452:26064, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 612
20:34:28.842816 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 26064:26484, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 420
20:34:28.842872 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 26484:27288, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 804
20:34:28.842919 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 27288:28092, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 804
20:34:28.842964 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 28092:28704, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 612
20:34:28.843043 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 28704:29316, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 612
20:34:28.843102 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 29316:29544, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 228
20:34:28.843141 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 29544:29772, ack 1, win 501, options [nop,nop,TS val 1836104788 ecr 488284367], length 228
