root@comp3134:~# tcpdump -n -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:31:00.365364 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 9120:9324, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.365443 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 9360:9564, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.365510 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 9600:9804, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.365565 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 9840:10044, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.365614 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 10080:10284, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.365669 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 10320:10524, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.365732 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 10560:10764, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.365768 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 10764:10800, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 36
20:31:00.365869 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 11040:11244, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.365931 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 11280:11484, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366005 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 11520:11724, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366079 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 11760:11964, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366150 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 12000:12204, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366215 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 12240:12444, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366277 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 12480:12684, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366348 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 12720:12924, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366420 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 12960:13164, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366480 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 13200:13404, ack 1, win 501, options [nop,nop,TS val 1835896311 ecr 488075894], length 204
20:31:00.366534 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 13440:13644, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 204
20:31:00.366602 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 13680:13884, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 204
20:31:00.366670 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 13920:14124, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 204
20:31:00.366714 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 14124:14328, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 204
20:31:00.366766 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 14328:14700, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 372
20:31:00.366820 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 14700:15232, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 532
20:31:00.366879 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 15232:15764, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 532
20:31:00.366931 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 15764:16464, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 700
20:31:00.366988 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 16464:16836, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 372
20:31:00.367053 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 16836:17376, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 540
20:31:00.367111 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 17376:17916, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 540
20:31:00.367163 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 17916:18456, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 540
20:31:00.367217 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 18456:18996, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 540
20:31:00.367279 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 18996:19536, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 540
20:31:00.367345 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 19536:20076, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 540
20:31:00.367422 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 20076:20784, ack 1, win 501, options [nop,nop,TS val 1835896312 ecr 488075894], length 708
20:31:00.367488 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 20784:21492, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 708
20:31:00.367545 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 21492:22032, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 540
20:31:00.367602 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 22032:22404, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 372
20:31:00.367664 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 22404:22608, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.367706 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 22608:22812, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
