root@comp3134:~# tcpdump -i enp1s0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:15.063218 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16096:16324, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.063275 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16360:16588, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.063328 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16624:16852, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.063385 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16888:17116, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.063438 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17152:17380, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.063500 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17416:17644, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.063562 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17680:17908, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.063618 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17944:18172, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.063671 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18208:18436, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.063724 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18472:18700, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.063787 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18736:18964, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.063853 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19000:19228, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.063886 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19228:19264, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 36
20:32:15.063981 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19528:19756, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064037 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19792:20020, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064085 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20056:20284, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064149 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20320:20548, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064212 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20584:20812, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064266 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20848:21076, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064324 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21112:21340, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064392 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21376:21604, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064442 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21640:21868, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 228
20:32:15.064470 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21868:21904, ack 1, win 501, options [nop,nop,TS val 1835971009 ecr 488150586], length 36
20:32:15.064521 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22132:22168, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 36
20:32:15.064620 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22432:22660, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.064671 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22696:22924, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.064737 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22960:23188, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.064835 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23224:23452, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.064872 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23452:23488, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 36
20:32:15.064948 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23752:23980, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.065018 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24016:24244, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.065173 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24280:24508, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.065252 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24544:24772, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.065324 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24808:25036, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.065362 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25036:25072, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 36
20:32:15.065448 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25336:25564, ack 1, win 501, options [nop,nop,TS val 1835971010 ecr 488150586], length 228
20:32:15.065506 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25600:25828, ack 1, win 501, options [nop,nop,TS val 1835971011 ecr 488150586], length 228
20:32:15.065567 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 25864:26092, ack 1, win 501, options [nop,nop,TS val 1835971011 ecr 488150586], length 228
